"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e","observed_c"
"Upper Kai-iwi Shellbed",0.00467256830475067,0.00266583046416612,0.00811673240227654,0.0054076173770369,0.00266583046684389,0.00811673248154722,"0.00809232217190662","0.00804308399489982"
"Lower Castlecliff Shellbed",0.0124900601437651,0.00450673703439232,0.0341498117944917,0.0194161551653598,0.00450673973502764,0.0341498119782231,"0.0337722421535579","0.0315099409113099"
"Tainui Shellbed",0.00792596646278123,0.00380943854182965,0.0163979088117787,0.0101380562060857,0.003809439631867,0.0163979088213682,"0.0150616421437654","0.0121396041508187"
"Shakespeare Cliff Basal Sand Shellbed",0.00425147440562362,0.00242157185209951,0.00740057911025858,0.00492595561334661,0.00242157187337309,0.00740057916922159,"0.00617152748960572","0.00490903374522659"
"modern",0.00210040053577018,0.000730153787900569,0.00600224993876234,0.00338111343690576,0.000730153904364616,0.00600225001908803,"",""
