"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e","observed_c"
"Lower Castlecliff Shellbed",0.00887168145679335,0.00618842876501926,0.0126717312923212,0.00944760009607168,0.00618842888227826,0.0126717336595038,"0.00781457351298356","0.00709949637152987"
"Whanganui Core",0.00289411338179619,0.00175783121547073,0.004746440334266,0.0032597584135611,0.00175783121755545,0.00474644034832453,"0.00468622266861076","0.00458922804834826"
"modern",0.00302215160874238,0.000791265766908079,0.0115871331252007,0.00621688119235769,0.000791265826531387,0.0115871337554448,"",""
