"time","num.col","num.zooid","avg.zooid","min.len","max.len","avg.len","sd.len","var.len","min.wid","max.wid","avg.wid","sd.wid","var.wid"
"Lower Kai-iwi Shellbed",11,243,23,5.36031020165881,6.6318945598399,6.23570378696847,0.146099590833597,0.0213450904417444,5.04338497833449,6.41442356251822,6.02139119300103,0.168594952975122,0.0284242581686837
"Nukumaru Brown Sand",4,185,47,5.72577962212864,6.63343607567914,6.22557612142698,0.146136001392202,0.0213557309029018,5.39035651935831,6.22772421348768,5.87671304617707,0.142940727846376,0.0204320516772518
"Nukumaru Limestone",3,86,29,5.72223189054149,6.64505333035927,6.23970149510817,0.147799072104164,0.0218445657148518,5.31569749969732,6.30745835657677,5.93659446054375,0.156717657081843,0.0245604240412223
"Tainui Shellbed",4,148,37,5.37912139896333,6.56365302774469,6.18291050669665,0.13884872517442,0.0192789684825616,4.938809559525,6.29532093625416,5.93935980456234,0.217739080172868,0.0474103070345266
"Upper Kai-iwi Shellbed",33,1240,38,5.532937583641,6.65036188779622,6.19556217075266,0.142874197718807,0.0204130363737927,4.67350350925631,6.36108762126363,5.94095133092234,0.170233578848182,0.0289794713674602
"modern",63,4546,73,4.63727834074427,6.76529479725239,6.1596144400635,0.179954662151396,0.0323836804300231,4.2581808533184,6.41277036325137,5.82446639117006,0.183691031761438,0.0337423951495815
