"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e","observed_c"
"Nukumaru Limestone",0.00917772201699914,0.005825693074641,0.0144071773592166,0.0101379761566252,0.0058256930795743,0.0144071784454341,"0.0116060083020798","0.00972912108140961"
"Nukumaru Brown Sand",0.00633740615437509,0.00570496024923559,0.00704376492406545,0.0063729427849065,0.00570496024927179,0.00704376493005472,"0.00675222121616374","0.00670130448550369"
"Lower Kai-iwi Shellbed",0.00679384979765212,0.00231101023374039,0.0197974366891349,0.011104691342338,0.00231101023449264,0.0197974467301013,"0.0189290635831607","0.0143901935014981"
"Upper Kai-iwi Shellbed",0.00411603613004434,0.00198688656890382,0.00849154784086533,0.00525602142726199,0.00198688657006959,0.00849154818473085,"0.00623953479362305","0.00398021726995834"
"Tainui Shellbed",0.00520460879345885,0.00269399897247298,0.00992855115173448,0.00633265453236134,0.00269399897657718,0.00992855532206293,"0.00942897226477543","0.00837539438826227"
"modern",0.00411603613004434,0.00198688656890382,0.00849154784086533,0.00525602142726199,0.00198688657006959,0.00849154818473085,"",""
