"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e","observed_c"
"Nukumaru Limestone",0.00427336636774872,0.00125666832903084,0.0144873087549824,0.0079086842704954,0.00125666832914691,0.0144873087592481,"0.0131638119441845","0.0070560375291776"
"Nukumaru Brown Sand",0.00283530988450552,0.00128920153331742,0.00616534939844006,0.00374175704156672,0.00128920154580348,0.00616535045115864,"0.00612433328516341","0.00597524148044102"
"Lower Kai-iwi Shellbed",0.00398820588814142,0.00147425186902895,0.0106438912790217,0.00608628051650496,0.00147425187327331,0.0106438927248376,"0.00997283028389657","0.00731444213585746"
"Upper Kai-iwi Shellbed",0.00221153537491173,0.000555091996753896,0.00874470374807854,0.00467365113262178,0.000555093547851614,0.0087447041440517,"0.00742894269525201","0.00259459905561302"
"Lower Castlecliff Shellbed",0.0066631933322873,0.0025067296146348,0.01762745064551,0.0101084499298452,0.00250672986683317,0.0176274560707117,"0.0173427207748897","0.0158294141330813"
"Tainui Shellbed",0.00441682237276154,0.00116285806779332,0.0168627079563483,0.00905104454190465,0.00116285858565804,0.01686271699685,"0.0167772715788444","0.0157084690891101"
"Shakespeare Cliff Basal Sand Shellbed",0.00304660160286871,0.00204458701077222,0.00451694806727236,0.00328795609680063,0.00204458703063189,0.00204458703063189,"-0.00448667451778083","0.00444720700883079"
"Whanganui Core",0.00508938056040045,0.00240469038436064,0.0107158754916294,0.00658265433699604,0.0024046904088035,0.0024046904088035,"-0.0107014045781066","0.0107127739576324"
"modern",0.00229916529864819,0.000807570606428494,0.00651664649833705,0.00367780173237435,0.000807570686649935,0.000807570686649935,"",""
