image_id,box_id
MHR.7458.jpg,63
MHR.7458.jpg,78
MHR.7458.jpg,52
MHR.7458.jpg,25
MHR.7458.jpg,30
MHR.7458.jpg,81
MHR.7458.jpg,17
MHR.7458.jpg,32
MHR.7458.jpg,23
MHR.7458.jpg,57
MHR.7458.jpg,28
MHR.7458.jpg,60
MHR.7458.jpg,91
MHR.7458.jpg,61
MHR.7458.jpg,58
MHR.7458.jpg,31
MHR.7458.jpg,29
MHR.7458.jpg,12
MHR.7458.jpg,19
MHR.7458.jpg,79
MHR.7458.jpg,53
MHR.7458.jpg,100
MHR.7458.jpg,21
MHR.7458.jpg,80
MHR.7458.jpg,50
MHR.7458.jpg,24
MHR.7458.jpg,55
MHR.7472.jpg,66
MHR.7472.jpg,65
MHR.7472.jpg,63
MHR.7472.jpg,58
MHR.7472.jpg,56
MHR.7472.jpg,55
MHR.7472.jpg,51
MHR.7472.jpg,50
MHR.7472.jpg,49
MHR.7472.jpg,46
MHR.7472.jpg,44
MHR.7472.jpg,41
MHR.7472.jpg,40
MHR.7472.jpg,39
MHR.7472.jpg,38
MHR.7472.jpg,37
MHR.7472.jpg,36
MHR.7472.jpg,35
MHR.7472.jpg,34
MHR.7472.jpg,33
MHR.7472.jpg,32
MHR.7472.jpg,31
MHR.7472.jpg,30
MHR.7472.jpg,29
MHR.7472.jpg,28
MHR.7472.jpg,27
MHR.7472.jpg,26
MHR.7472.jpg,23
MHR.7472.jpg,18
MHR.7472.jpg,17
MHR.7472.jpg,16
MHR.7472.jpg,15
MHR.7472.jpg,14
MHR.7472.jpg,13
MHR.7472.jpg,12
MHR.7472.jpg,11
MHR.7472.jpg,10
MHR.7472.jpg,6
MHR.7472.jpg,4
MHR.7472.jpg,3
MHR.7861.jpg,54
MHR.7861.jpg,53
MHR.7861.jpg,51
MHR.7861.jpg,50
MHR.7861.jpg,49
MHR.7861.jpg,48
MHR.7861.jpg,47
MHR.7861.jpg,44
MHR.7861.jpg,37
